Sighting Animal,Sighting Evidence,Sighting Evidence Comment,Sighting Quantity,Sighting Presence,Sighting Evidence of Absence,Sighting Provisions Related,Sighting Evidence of Provision,Sighting Native American Presence,Observation Year,Observation Season,Observation Month,Observation Day,Observer Name,Observer ID,Observer Years,Observer Participation,Observer Point of Origin,Observer Notes,Observer Profession,Observer Official Status,Observer Gender,Observation Location,Observation Comments,Trip Participants,Trip Number Participants,Trip Purpose,Trip Comments,Trip Start Year,Trip Start Month,Trip Start Day,Trip End Year,Trip End Month,Trip End Day,Trip Digital Route Available,Source Document,Source Page,Source Author,Source Date of Publication,Source Title,Source Subtitle,Source Publisher,Source Publisher Location,Source Comments
Unknown,assumption,hunt and trap,,1,,0,,0,1868,winter,,0,Unknown Observer 088,u088,1868,Unknown,,,unknown,,,along Upper Yellowstone,Jardine,unknown (4 young men),4,trapping,Upper Yellowstone (Yankee Jim),1868,,0,1868,,0,0,Kearns 1940,14,Kearns,1940,,,,,originally appeared in Helena Herald
Beaver,killed animal,,1,1,,0,,0,1868,winter,,0,Unknown Observer 088,u088,1868,Unknown,,,unknown,,,along Upper Yellowstone,Jardine,unknown (4 young men),4,trapping,Upper Yellowstone (Yankee Jim),1868,,0,1868,,0,0,Kearns 1940,14,Kearns,1940,,,,,originally appeared in Helena Herald
Otter,killed animal,,1,1,,0,,0,1868,winter,,0,Unknown Observer 088,u088,1868,Unknown,,,unknown,,,along Upper Yellowstone,Jardine,unknown (4 young men),4,trapping,Upper Yellowstone (Yankee Jim),1868,,0,1868,,0,0,Kearns 1940,14,Kearns,1940,,,,,originally appeared in Helena Herald
Mink,killed animal,,1,1,,0,,0,1868,winter,,0,Unknown Observer 088,u088,1868,Unknown,,,unknown,,,along Upper Yellowstone,Jardine,unknown (4 young men),4,trapping,Upper Yellowstone (Yankee Jim),1868,,0,1868,,0,0,Kearns 1940,14,Kearns,1940,,,,,originally appeared in Helena Herald
Marten,killed animal,,1,1,,0,,0,1868,winter,,0,Unknown Observer 088,u088,1868,Unknown,,,unknown,,,along Upper Yellowstone,Jardine,unknown (4 young men),4,trapping,Upper Yellowstone (Yankee Jim),1868,,0,1868,,0,0,Kearns 1940,14,Kearns,1940,,,,,originally appeared in Helena Herald
Marten,described parts,skins,2,1,,0,,0,1868,winter,,0,Unknown Observer 088,u088,1868,Unknown,,,unknown,,,along Upper Yellowstone,Jardine,unknown (4 young men),4,trapping,Upper Yellowstone (Yankee Jim),1868,,0,1868,,0,0,Kearns 1940,14,Kearns,1940,,,,,originally appeared in Helena Herald
Unknown,assumption,trap,,1,,0,,0,1868,winter,,0,Unknown Observer 088,u088,1868,Unknown,,,unknown,,,along Upper Yellowstone,Jardine,unknown (4 young men),4,trapping,Upper Yellowstone (Yankee Jim),1868,,0,1868,,0,0,Kearns 1940,14,Kearns,1940,,,,,originally appeared in Helena Herald
Pronghorn,observed animal,numerous herds,More than 500,1,,0,,0,1869,summer,September,10,Folsom to Cook,foco,1869,First Hand,regional,As co to authors (both also wrote individual accounts),civilian official/businessman,Non to Official,M,divide that would lead to Yellowstone Valley,,"David Folsom, Charles Cook, William Peterson",,exploring,,1869,September,0,1869,October,0,1,Haines 1965,14,"Haines, Aubrey",1965,,,,,
Bighorn Sheep,observed animal,very tame,Less than 10,1,,0,,0,1870,summer,August,30,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,"~3.5 miles downstream from Lower Falls, at river bottom",,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1871,14,"Doane, Captain Gustavus",1871,,,,,
Bighorn Sheep,killed animal,one,Less than 10,1,,0,,0,1870,summer,August,30,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,"~3.5 miles downstream from Lower Falls, at river bottom",,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1871,14,"Doane, Captain Gustavus",1871,,,,,
Bighorn Sheep,attempted to kill,wounded one,Less than 10,1,,0,,0,1870,summer,August,30,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,"~3.5 miles downstream from Lower Falls, at river bottom",,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1871,14,"Doane, Captain Gustavus",1871,,,,,
Unknown,observed sign,game trail,,1,,0,,0,1870,summer,September,1,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,"along the bank of the Yellowstone River, 2 miles upstream from Upper Falls",,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1871,14,"Doane, Captain Gustavus",1871,,,,,
Elk,observed animal,three,Less than 10,1,,0,,0,1871,summer,July,26,"Barlow, Captain John",joba,1871,First Hand,continental,,military personnel,Official,M,,,"Captain John Barlow, Captain David Heap",,survey for General Philip Sheridan and military escort for Hayden Expedition,"sometimes considered same trip as Hayden Expedition, but often traveled independently",1871,July,16,1871,September,1,1,Barlow 1872,14,"Barlow, Captain John",1872,,,,,
Unknown,assumption,"game driveways, Native American hunting",,1,,0,,1,1880,,,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,Swan Lake Flats,,"Norris, Yount",,superintendent,,1880,June,0,1880,November,0,0,Norris 1881a,14,"Norris, Philetus W.",1881,,,,,
Unknown,killed animal,plundering game,,1,,0,,0,1880,,,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,YNP,,"Norris, Yount",,superintendent,,1880,June,0,1880,November,0,0,Norris 1881a,14,"Norris, Philetus W.",1881,,,,,
Unknown,described parts,piece of meat from supply train,,1,,0,,0,1872,summer,August,5,"Peale, Albert",alpe,"1871, 1872",First Hand,continental,,scientist,Official,M,traveling to Mount Washburn,,"Hayden, Savage, Holmes, Bennet, Bottler, Houston, Blackmore, Lowe, Peale, Platt, Brown, Davis, Mounts, Stover, Ticknor, Hamilton, Bingham, Sloane, Smith, Stoner, Gannett, Bean",34,Northern Division of Hayden Survey,Yellowstone NP,1872,July,5,1872,October,5,1,Peale 1872,14,"Peale, A.C.",1872,,,,,
Elk,described parts,pair of antlers,Less than 10,1,,0,,0,1872,summer,July,20,"Blackmore, William",wibl,1872,First Hand,international,,hunter,Non to Official,M,"on Trail Creek route, 10 miles from Fort Ellis",,"Hayden, Savage, Holmes, Bennet, Bottler, Houston, Blackmore, Lowe, Peale, Platt, Brown, Davis, Mounts, Stover, Ticknor, Hamilton, Bingham, Sloane, Smith, Stoner, Gannett, Bean",34,Northern Division of Hayden Survey,Yellowstone NP,1872,July,5,1872,October,5,1,Blackmore 1872:6,14,"Blackmore, William",1872,,,,,
Bighorn Sheep,place name association,Sheep Mountain,Unknown,1,,0,,0,1873,,,0,"Stanley, Reverend E.J.",ejst,1873,First Hand,regional,Provided his own observations as well as reported comments of Native American,clergy,Non to Official,M,Sheep Mountain,Crazy Mountains,Rev. Stanley,,,"approached YNP from north, MHS, Tower, Mt Washburn, Canyon, Mary Mtn, geyser basins, Lake, MHS",1873,,0,1873,,0,0,Stanley 1878,14,"Stanley, Reverend E.J.",1878,,,,,
Black Bear,observed animal,cinnamon,1,1,,0,,0,1874,summer,July,22,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,camped on Teton Pass Creek on western WY border,,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Black Bear,attempted to kill,shot cinnamon twice but escaped,1,1,,0,,0,1874,summer,July,23,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,between 177.4m and 181mp camps on western WY border,,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Black Bear,observed animal,,1,1,,0,,0,1874,summer,July,23,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,between 177.4m and 181mp camps on western WY border,,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Black Bear,killed animal,,1,1,,0,,0,1874,summer,July,23,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,between 177.4m and 181mp camps on western WY border,,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
"Bear, unspecified",described parts,meat,1,1,,0,,0,1874,summer,July,24,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,camp at 183.4m on western WY border,"approximately east of Driggs, ID","WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Elk,described parts,meat,Less than 10,1,,0,,0,1874,summer,July,24,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,camp at 183.4m on western WY border,"approximately east of Driggs, ID","WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Beaver,observed sign,beaver marsh,1,1,,0,,0,1874,summer,July,25,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,foothills on east side of Pierre's River and Hole on western WY border,,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Unknown,assumption,hunting,,1,,0,,0,1874,summer,July,26,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,Teton River,Grand Teton due east 16 miles,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
"Deer, unspecified",assumption,hunt,Unknown,1,,0,,0,1874,summer,July,26,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,Teton River,Grand Teton due east 16 miles,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Pronghorn,killed animal,,Less than 10,1,,0,,0,1874,summer,July,26,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,Teton River,Grand Teton due east 16 miles,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Pronghorn,described parts,meat,Less than 10,1,,0,,0,1874,summer,July,27,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,Teton River,Grand Teton due east 16 miles,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Unknown,described parts,"got game, carcass",,1,,0,,0,1874,summer,July,26,"Richards, William Alford",wari,1874,First Hand,regional,,civilian official,Official,M,Teton River,Grand Teton due east 16 miles,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 2001,14,"Richards, William Alford",2001,,,,,
Moose,described parts,head,Less than 10,1,,0,,0,1878,summer,August,22,"Mushbach, Joseph E.",jomu,1878,First Hand,continental,,scientist,Official,M,Shoshone Geyser Basin,,"Hayden, Peale, Comstock, Gannett, Holmes, Jackson, Mushbach, Cooper, West, Graves, Clarke, Eckles, Yount, Amelung, Miles",30,USGGS survey,,1878,July,27,1878,October,15,0,Mushbach 1878,14,"Mushbach, Joseph E.",1878,,,,,
Moose,described parts,"liver, heart, steak, tongue",Less than 10,1,,0,,0,1878,summer,August,22,"Mushbach, Joseph E.",jomu,1878,First Hand,continental,,scientist,Official,M,Shoshone Geyser Basin,,"Hayden, Peale, Comstock, Gannett, Holmes, Jackson, Mushbach, Cooper, West, Graves, Clarke, Eckles, Yount, Amelung, Miles",30,USGGS survey,,1878,July,27,1878,October,15,0,Mushbach 1878,14,"Mushbach, Joseph E.",1878,,,,,
,,,,0,,1,arrived on short rations,0,1878,summer,August,23,"Mushbach, Joseph E.",jomu,1878,First Hand,continental,,scientist,Official,M,Shoshone Geyser Basin,,"Hayden, Peale, Comstock, Gannett, Holmes, Jackson, Mushbach, Cooper, West, Graves, Clarke, Eckles, Yount, Amelung, Miles",30,USGGS survey,,1878,July,27,1878,October,15,0,Mushbach 1878,14,"Mushbach, Joseph E.",1878,,,,,
Moose,described parts,meat,Less than 10,1,,0,,0,1878,summer,August,23,"Mushbach, Joseph E.",jomu,1878,First Hand,continental,,scientist,Official,M,Shoshone Geyser Basin,,"Hayden, Peale, Comstock, Gannett, Holmes, Jackson, Mushbach, Cooper, West, Graves, Clarke, Eckles, Yount, Amelung, Miles",30,USGGS survey,,1878,July,27,1878,October,15,0,Mushbach 1878,14,"Mushbach, Joseph E.",1878,,,,,
Elk,described parts,carcass,Less than 10,1,,0,,0,1878,summer,August,25,"Mushbach, Joseph E.",jomu,1878,First Hand,continental,,scientist,Official,M,Shoshone Geyser Basin,,"Hayden, Peale, Comstock, Gannett, Holmes, Jackson, Mushbach, Cooper, West, Graves, Clarke, Eckles, Yount, Amelung, Miles",30,USGGS survey,,1878,July,27,1878,October,15,0,Mushbach 1878,14,"Mushbach, Joseph E.",1878,,,,,
Bighorn Sheep,observed animal,scores,100 to 500,1,,0,,0,1881,summer,August,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,Two Ocean Pass region,,Norris,,superintendent,,1881,,0,1881,,0,0,Norris 1881c,14,"Norris, Philetus W.",1881,,,,,
Elk,observed animal,scores,100 to 500,1,,0,,0,1881,summer,August,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,Two Ocean Pass region,,Norris,,superintendent,,1881,,0,1881,,0,0,Norris 1881c,14,"Norris, Philetus W.",1881,,,,,
Grizzly Bear,observed animal,scores,More than 10,1,,0,,0,1881,summer,August,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,Two Ocean Pass region,,Norris,,superintendent,,1881,,0,1881,,0,0,Norris 1881c,14,"Norris, Philetus W.",1881,,,,,
Unknown,assumption,trapped,,1,,0,,0,1874,winter,,0,"Bean, John B.",jobe,"1870, 1872, 1873, 1874, 1875, 1876,  1877, 1879",First Hand,resident,,hunter,Non to Official,M,Missouri & Jefferson,Took place during the winter of 1874/1875,John B. Bean,,hunting,,1874,,0,1875,,0,0,Bean 1910,14,"Bean, John B.",1910,,,,,
Unknown,observed animal,plenty of game,,1,,0,,0,1874,winter,,0,"Bean, John B.",jobe,"1870, 1872, 1873, 1874, 1875, 1876,  1877, 1879",First Hand,resident,,hunter,Non to Official,M,Yellowstone River,Took place during the winter of 1874/1875,John B. Bean,,hunting,,1874,,0,1875,,0,0,Bean 1910,14,"Bean, John B.",1910,,,,,
Unknown,assumption,trapped,,1,,0,,0,1876,,,0,"Bean, John B.",jobe,"1870, 1872, 1873, 1874, 1875, 1876,  1877, 1879",First Hand,resident,,hunter,Non to Official,M,Missouri & Jefferson,,John B. Bean,,hunting,,1875,,0,1876,,0,0,Bean 1910,14,"Bean, John B.",1910,,,,,
Unknown,general observation,plenty of game,,1,,0,,0,1876,winter,,0,"Bean, John B.",jobe,"1870, 1872, 1873, 1874, 1875, 1876,  1877, 1879",First Hand,resident,,hunter,Non to Official,M,Yellowstone River,,John B. Bean,,hunting,,1875,,0,1876,,0,0,Bean 1910,14,"Bean, John B.",1910,,,,,
Unknown,assumption,trapping trip,,1,,0,,0,1876,spring,,0,"Bean, John B.",jobe,"1870, 1872, 1873, 1874, 1875, 1876,  1877, 1879",First Hand,resident,,hunter,Non to Official,M,Yellowstone Valley,,John B. Bean,,hunting,,1875,,0,1876,,0,0,Bean 1910,14,"Bean, John B.",1910,,,,,
Bison,observed animal,abounds,More than 500,1,,0,,0,1835,spring,June,24,"Russell, Osborne",osru,"1835, 1836, 1837, 1838, 1839",First Hand,continental,,trapper,Non to Official,M,Pierre's Hole,,Osborne Russell,,,,1835,May,1,1835,October,3,1,Russell 1955,15,Russell,1955,,,,,
Elk,observed animal,abounds,More than 500,1,,0,,0,1835,spring,June,24,"Russell, Osborne",osru,"1835, 1836, 1837, 1838, 1839",First Hand,continental,,trapper,Non to Official,M,Pierre's Hole,,Osborne Russell,,,,1835,May,1,1835,October,3,1,Russell 1955,15,Russell,1955,,,,,
"Deer, unspecified",observed animal,abounds,More than 500,1,,0,,0,1835,spring,June,24,"Russell, Osborne",osru,"1835, 1836, 1837, 1838, 1839",First Hand,continental,,trapper,Non to Official,M,Pierre's Hole,,Osborne Russell,,,,1835,May,1,1835,October,3,1,Russell 1955,15,Russell,1955,,,,,
Pronghorn,observed animal,abounds,More than 500,1,,0,,0,1835,spring,June,24,"Russell, Osborne",osru,"1835, 1836, 1837, 1838, 1839",First Hand,continental,,trapper,Non to Official,M,Pierre's Hole,,Osborne Russell,,,,1835,May,1,1835,October,3,1,Russell 1955,15,Russell,1955,,,,,
Unknown,general observation,abounds with etc,,1,,0,,0,1835,spring,June,24,"Russell, Osborne",osru,"1835, 1836, 1837, 1838, 1839",First Hand,continental,,trapper,Non to Official,M,Pierre's Hole,,Osborne Russell,,,,1835,May,1,1835,October,3,1,Russell 1955,15,Russell,1955,,,,,
Unknown,described parts,white men taking Indians' food supply,,1,,1,white men take Indians food,1,1867,,,0,"Brown, Joe",jebr,"1866, 1867",First Hand,resident,,prospector,Non to Official,M,Bear Gulch area,,Joe Brown,,,,1867,,0,1867,,0,0,Potter 1962,15,"Potter, Lena",1962,,,,,
Pronghorn,described parts,hides,Less than 10,1,,0,,0,1869,summer,September,11,Folsom to Cook,foco,1869,First Hand,regional,As co to authors (both also wrote individual accounts),civilian official/businessman,Non to Official,M,Emigrant Creek,Bottler's Ranch,"David Folsom, Charles Cook, William Peterson",,exploring,,1869,September,0,1869,October,0,1,Haines 1965,15,"Haines, Aubrey",1965,,,,,
Elk,described parts,hides,Less than 10,1,,0,,0,1869,summer,September,11,Folsom to Cook,foco,1869,First Hand,regional,As co to authors (both also wrote individual accounts),civilian official/businessman,Non to Official,M,Emigrant Creek,Bottler's Ranch,"David Folsom, Charles Cook, William Peterson",,exploring,,1869,September,0,1869,October,0,1,Haines 1965,15,"Haines, Aubrey",1965,,,,,
Unknown,described parts,meat,,1,,0,,0,1869,summer,September,11,Folsom to Cook,foco,1869,First Hand,regional,As co to authors (both also wrote individual accounts),civilian official/businessman,Non to Official,M,Emigrant Creek,Bottler's Ranch,"David Folsom, Charles Cook, William Peterson",,exploring,,1869,September,0,1869,October,0,1,Haines 1965,15,"Haines, Aubrey",1965,,,,,
Elk,observed animal,,Less than 10,1,,0,,0,1870,summer,September,1,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,crossing Hayden Valley,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1871,15,"Doane, Captain Gustavus",1871,,,,,
Unknown,observed sign,game trail,,1,,0,,0,1870,summer,August,26,"Langford, Nathaniel P.",npla,"1870, 1872",First Hand,regional,,businessman,Official,M,"after crossing Gardner River and continuing east, present Rescue Creek Trail south to Blacktail Plateau",,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Langford 1972,15,Langford Nathaniel P.,1972,,,,,
Pronghorn,described parts,carcass,Less than 10,1,,0,,0,1870,summer,August,26,"Langford, Nathaniel P.",npla,"1870, 1872",First Hand,regional,,businessman,Official,M,descending divide,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Langford 1972,15,Langford Nathaniel P.,1972,,,,,
Unknown,general observation,abounding in game,,1,,0,,0,1873,summer,July,19,"Jones, Captain W.A.",wajo,1873,First Hand,continental,,military personnel,Official,M,"Owl Creek, above its canyon",,"Capt WA Jones, Narkok, Capt Noyles, Lt Hall, Comstock, Creary, LeHardy, Lt Young, Heizmann",20,scientific discovery,"20+military escort, packers & scouts, ""Reconnaissance of Northwestern Wyoming"" southeast GYE, Jones Pass, FB, Canyon, Mirror, Tower Fall, Washburn, geyser basins, Lake, Thorofare",1873,July,17,1873,September,5,1,Jones 1875,15,"Jones, Captain W.A.",1875,,,,,
Bighorn Sheep,observed animal,,Less than 10,1,,0,,0,1873,summer,July,19,"Jones, Captain W.A.",wajo,1873,First Hand,continental,,military personnel,Official,M,"Owl Creek, above its canyon",,"Capt WA Jones, Narkok, Capt Noyles, Lt Hall, Comstock, Creary, LeHardy, Lt Young, Heizmann",20,scientific discovery,"20+military escort, packers & scouts, ""Reconnaissance of Northwestern Wyoming"" southeast GYE, Jones Pass, FB, Canyon, Mirror, Tower Fall, Washburn, geyser basins, Lake, Thorofare",1873,July,17,1873,September,5,1,Jones 1875,15,"Jones, Captain W.A.",1875,,,,,
"Bear, unspecified",observed animal,,1,1,,0,,0,1873,summer,July,19,"Jones, Captain W.A.",wajo,1873,First Hand,continental,,military personnel,Official,M,"Owl Creek, above its canyon",,"Capt WA Jones, Narkok, Capt Noyles, Lt Hall, Comstock, Creary, LeHardy, Lt Young, Heizmann",20,scientific discovery,"20+military escort, packers & scouts, ""Reconnaissance of Northwestern Wyoming"" southeast GYE, Jones Pass, FB, Canyon, Mirror, Tower Fall, Washburn, geyser basins, Lake, Thorofare",1873,July,17,1873,September,5,1,Jones 1875,15,"Jones, Captain W.A.",1875,,,,,
Elk,observed animal,,Less than 10,1,,0,,0,1873,summer,July,19,"Jones, Captain W.A.",wajo,1873,First Hand,continental,,military personnel,Official,M,"Owl Creek, above its canyon",,"Capt WA Jones, Narkok, Capt Noyles, Lt Hall, Comstock, Creary, LeHardy, Lt Young, Heizmann",20,scientific discovery,"20+military escort, packers & scouts, ""Reconnaissance of Northwestern Wyoming"" southeast GYE, Jones Pass, FB, Canyon, Mirror, Tower Fall, Washburn, geyser basins, Lake, Thorofare",1873,July,17,1873,September,5,1,Jones 1875,15,"Jones, Captain W.A.",1875,,,,,
"Deer, unspecified",observed animal,,Less than 10,1,,0,,0,1873,summer,July,19,"Jones, Captain W.A.",wajo,1873,First Hand,continental,,military personnel,Official,M,"Owl Creek, above its canyon",,"Capt WA Jones, Narkok, Capt Noyles, Lt Hall, Comstock, Creary, LeHardy, Lt Young, Heizmann",20,scientific discovery,"20+military escort, packers & scouts, ""Reconnaissance of Northwestern Wyoming"" southeast GYE, Jones Pass, FB, Canyon, Mirror, Tower Fall, Washburn, geyser basins, Lake, Thorofare",1873,July,17,1873,September,5,1,Jones 1875,15,"Jones, Captain W.A.",1875,,,,,
Bison,observed animal,,Less than 10,1,,0,,0,1873,summer,July,19,"Jones, Captain W.A.",wajo,1873,First Hand,continental,,military personnel,Official,M,"Owl Creek, above its canyon",,"Capt WA Jones, Narkok, Capt Noyles, Lt Hall, Comstock, Creary, LeHardy, Lt Young, Heizmann",20,scientific discovery,"20+military escort, packers & scouts, ""Reconnaissance of Northwestern Wyoming"" southeast GYE, Jones Pass, FB, Canyon, Mirror, Tower Fall, Washburn, geyser basins, Lake, Thorofare",1873,July,17,1873,September,5,1,Jones 1875,15,"Jones, Captain W.A.",1875,,,,,
Bison,general observation,favorite range,Unknown,1,,0,,0,1873,summer,July,21,"Jones, Captain W.A.",wajo,1873,First Hand,continental,,military personnel,Official,M,country between Owl and Cottonwood Creeks,,"Capt WA Jones, Narkok, Capt Noyles, Lt Hall, Comstock, Creary, LeHardy, Lt Young, Heizmann",20,scientific discovery,"20+military escort, packers & scouts, ""Reconnaissance of Northwestern Wyoming"" southeast GYE, Jones Pass, FB, Canyon, Mirror, Tower Fall, Washburn, geyser basins, Lake, Thorofare",1873,July,17,1873,September,5,1,Jones 1875,15,"Jones, Captain W.A.",1875,,,,,
Unknown,assumption,hunting,,1,,0,,0,1873,,,0,"Stanley, Reverend E.J.",ejst,1873,First Hand,regional,Provided his own observations as well as reported comments of Native American,clergy,Non to Official,M,Hunter Hot Springs,about 2 mils north of Yellowstone River and 10 miles west of present Livingston,Rev. Stanley,,,"approached YNP from north, MHS, Tower, Mt Washburn, Canyon, Mary Mtn, geyser basins, Lake, MHS",1873,,0,1873,,0,0,Stanley 1878,15,"Stanley, Reverend E.J.",1878,,,,,
